========================================================================================================================
  魔法金属方块清单 - 用于手动校对匹配
  格式: 序号 | MMM注册名 | 元数据 | 中文名
========================================================================================================================

  ===== 第一部分: 已自动匹配的方块 =====

      1  |  minecraft:wool                     |      0  |  羊毛方块
      2  |  minecraft:wool                     |      1  |  橙色羊毛方块
      3  |  minecraft:wool                     |      2  |  品红羊毛方块
      4  |  minecraft:wool                     |      3  |  淡蓝羊毛方块
      5  |  minecraft:wool                     |      4  |  黄色羊毛方块
      6  |  minecraft:wool                     |      5  |  黄绿羊毛方块
      7  |  minecraft:wool                     |      6  |  粉红羊毛方块
      8  |  minecraft:wool                     |      7  |  灰色羊毛方块
      9  |  minecraft:wool                     |      8  |  淡灰色羊毛方块
     10  |  minecraft:wool                     |      9  |  青色羊毛方块
     11  |  minecraft:wool                     |     10  |  紫色羊毛方块
     12  |  minecraft:wool                     |     11  |  蓝色羊毛方块
     13  |  minecraft:wool                     |     12  |  棕色羊毛方块
     14  |  minecraft:wool                     |     13  |  绿色羊毛方块
     15  |  minecraft:wool                     |     14  |  红色羊毛方块
     16  |  minecraft:wool                     |     15  |  黑色羊毛方块
     17  |  minecraft:stained_glass            |      0  |  白色染色玻璃
     18  |  minecraft:stained_glass            |      1  |  橙色染色玻璃
     19  |  minecraft:stained_glass            |      2  |  品红色染色玻璃
     20  |  minecraft:stained_glass            |      3  |  淡蓝色染色玻璃
     21  |  minecraft:stained_glass            |      4  |  黄色染色玻璃
     22  |  minecraft:stained_glass            |      5  |  黄绿色染色玻璃
     23  |  minecraft:stained_glass            |      6  |  粉红色染色玻璃
     24  |  minecraft:stained_glass            |      7  |  灰色染色玻璃
     25  |  minecraft:stained_glass            |      8  |  淡灰色染色玻璃
     26  |  minecraft:stained_glass            |      9  |  青色染色玻璃
     27  |  minecraft:stained_glass            |     10  |  紫色染色玻璃
     28  |  minecraft:stained_glass            |     11  |  蓝色染色玻璃
     29  |  minecraft:stained_glass            |     12  |  棕色染色玻璃
     30  |  minecraft:stained_glass            |     13  |  绿色染色玻璃
     31  |  minecraft:stained_glass            |     14  |  红色染色玻璃
     32  |  minecraft:stained_glass            |     15  |  黑色染色玻璃
     33  |  minecraft:stained_glass_pane       |      0  |  白色染色玻璃板
     34  |  minecraft:stained_glass_pane       |      1  |  橙色染色玻璃板
     35  |  minecraft:stained_glass_pane       |      2  |  品红色染色玻璃板
     36  |  minecraft:stained_glass_pane       |      3  |  淡蓝色染色玻璃板
     37  |  minecraft:stained_glass_pane       |      4  |  黄色染色玻璃板
     38  |  minecraft:stained_glass_pane       |      5  |  黄绿色染色玻璃板
     39  |  minecraft:stained_glass_pane       |      6  |  粉红色染色玻璃板
     40  |  minecraft:stained_glass_pane       |      7  |  灰色染色玻璃板
     41  |  minecraft:stained_glass_pane       |      8  |  淡灰色染色玻璃板
     42  |  minecraft:stained_glass_pane       |      9  |  青色染色玻璃板
     43  |  minecraft:stained_glass_pane       |     10  |  紫色染色玻璃板
     44  |  minecraft:stained_glass_pane       |     11  |  蓝色染色玻璃板
     45  |  minecraft:stained_glass_pane       |     12  |  棕色染色玻璃板
     46  |  minecraft:stained_glass_pane       |     13  |  绿色染色玻璃板
