========================================================================================================================
  原版方块清单 - 导入文件转换前的方块信息
  格式: 序号 | 方块状态 | 元数据 | 中文名
========================================================================================================================

  ===== 第一部分: 已自动匹配的方块 =====

      1  |  minecraft:white_wool                                     |  0      |  白色羊毛
      2  |  minecraft:orange_wool                                    |  1      |  橙色羊毛
      3  |  minecraft:magenta_wool                                   |  2      |  品红色羊毛
      4  |  minecraft:light_blue_wool                                |  3      |  淡蓝色羊毛
      5  |  minecraft:yellow_wool                                    |  4      |  黄色羊毛
      6  |  minecraft:lime_wool                                      |  5      |  黄绿色羊毛
      7  |  minecraft:pink_wool                                      |  6      |  粉红色羊毛
      8  |  minecraft:gray_wool                                      |  7      |  灰色羊毛
      9  |  minecraft:light_gray_wool                                |  8      |  淡灰色羊毛
     10  |  minecraft:cyan_wool                                      |  9      |  青色羊毛
     11  |  minecraft:purple_wool                                    |  10     |  紫色羊毛
     12  |  minecraft:blue_wool                                      |  11     |  蓝色羊毛
     13  |  minecraft:brown_wool                                     |  12     |  棕色羊毛
     14  |  minecraft:green_wool                                     |  13     |  绿色羊毛
     15  |  minecraft:red_wool                                       |  14     |  红色羊毛
     16  |  minecraft:black_wool                                     |  15     |  黑色羊毛
     17  |  minecraft:white_stained_glass                            |  0      |  白色染色玻璃
     18  |  minecraft:orange_stained_glass                           |  1      |  橙色染色玻璃
     19  |  minecraft:magenta_stained_glass                          |  2      |  品红色染色玻璃
     20  |  minecraft:light_blue_stained_glass                       |  3      |  淡蓝色染色玻璃
     21  |  minecraft:yellow_stained_glass                           |  4      |  黄色染色玻璃
     22  |  minecraft:lime_stained_glass                             |  5      |  黄绿色染色玻璃
     23  |  minecraft:pink_stained_glass                             |  6      |  粉红色染色玻璃
     24  |  minecraft:gray_stained_glass                             |  7      |  灰色染色玻璃
     25  |  minecraft:light_gray_stained_glass                       |  8      |  淡灰色染色玻璃
     26  |  minecraft:cyan_stained_glass                             |  9      |  青色染色玻璃
     27  |  minecraft:purple_stained_glass                           |  10     |  紫色染色玻璃
     28  |  minecraft:blue_stained_glass                             |  11     |  蓝色染色玻璃
     29  |  minecraft:brown_stained_glass                            |  12     |  棕色染色玻璃
     30  |  minecraft:green_stained_glass                            |  13     |  绿色染色玻璃
     31  |  minecraft:red_stained_glass                              |  14     |  红色染色玻璃
     32  |  minecraft:black_stained_glass                            |  15     |  黑色染色玻璃
     33  |  minecraft:white_stained_glass_pane                       |  0      |  白色染色玻璃板
     34  |  minecraft:orange_stained_glass_pane                      |  1      |  橙色染色玻璃板
     35  |  minecraft:magenta_stained_glass_pane                     |  2      |  品红色染色玻璃板
     36  |  minecraft:light_blue_stained_glass_pane                  |  3      |  淡蓝色染色玻璃板
     37  |  minecraft:yellow_stained_glass_pane                      |  4      |  黄色染色玻璃板
     38  |  minecraft:lime_stained_glass_pane                        |  5      |  黄绿色染色玻璃板
     39  |  minecraft:pink_stained_glass_pane                        |  6      |  粉红色染色玻璃板
     40  |  minecraft:gray_stained_glass_pane                        |  7      |  灰色染色玻璃板
     41  |  minecraft:light_gray_stained_glass_pane                  |  8      |  淡灰色染色玻璃板
     42  |  minecraft:cyan_stained_glass_pane                        |  9      |  青色染色玻璃板
